index,candidatura,nombre,nombre_completo,numero,partido,siglas,suplente,gender
0,1,Juana, Juana María Santana Hernández.,1,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
1,1,Consuelo, Consuelo Mira Tornadijo.,2,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
2,1,Maria, María Jesús Rodríguez Cuevas.,3,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
3,1,Javier, Javier Gonzálvez Avellana.,4,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,-1.0
4,1,Alfonso, Alfonso Francisco Marco Calvo.,5,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,-1.0
5,1,Ana, Ana María Valverde Sánchez.,6,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
6,1,Marina, Marina Esteban Sastre.,7,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
7,1,Maria, María Antonia Moreno Llaneza.,8,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
8,1,Enric, Enric Royo Rajadell.,9,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,-1.0
9,1,Francisco, Francisco Modesto Mireles Betancor.,10,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,-1.0
10,1,Maria, María de los Ángeles Joaquina Munuera Bassols.,11,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
11,1,Maria, María Soledad Mochales López.,12,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
12,1,Maria, María Jesús López Cañete.,13,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
13,1,Jose, José César Antón Pascual.,14,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,-1.0
14,1,Jose, José Fernández Díaz.,15,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,-1.0
15,1,Maria, María Pilar Pallás López.,16,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
16,1,Isabel, Isabel Mira Tornadijo.,17,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
17,1,Alicia, Alicia María Bolaños Naranjo.,18,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
18,1,Jaime, Jaime Alfonso Beneyto Gasset.,19,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,-1.0
19,1,Angel, Ángel Alberto Vega Cancio.,20,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,-1.0
20,1,Ester, Ester Aurelia Andrés y del Alar.,21,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
21,1,Maria, María Castro Carrascosa.,22,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
22,1,Begona, Begoña Ferreira Vidal.,23,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
23,1,Jesus, Jesús Pedrós Cholvi.,24,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,-1.0
24,1,Luis, Luis Jacobo Jaume Saura.,25,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,-1.0
25,1,Maria, María Ángeles Pérez Reyes.,26,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
26,1,Maria, María Rosa Cervera Salinas.,27,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
27,1,Maria, María Teresa Barbero Arcos.,28,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
28,1,Vicente, Vicente Igor Galduf Cabañas.,29,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,-1.0
29,1,Blas, Blas Caballero Martínez.,30,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,-1.0
30,1,Cristina, Cristina Gonzálvez Mira.,31,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
31,1,Maria, María Teresa Vidal Ferreres.,32,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
32,1,Vicenta, Vicenta Sanz Bellver.,33,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
33,1,Jose, José Vicente López Roger.,34,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,-1.0
34,1,Alberto, Alberto Antonio Hernández Ramos.,35,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,-1.0
35,1,Dolores, Dolores Luz Bravo de Laguna Muñoz.,36,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
36,1,Ana, Ana María Miguel Mínguez.,37,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
37,1,Mireia, Mireia Neus Renau Claramonte.,38,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
38,1,Rafael, Rafael López Cañete.,39,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,-1.0
39,1,Hector, Héctor Conde Rodríguez.,40,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,-1.0
40,1,Antonia, Antonia Caballero Rubio.,41,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
41,1,Tibisay, Tibisay Pérez Cervera.,42,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
42,1,Estefania, Estefanía Morcillo Dorta.,43,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
43,1,Juan, Juan Bernal Giménez.,44,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,-1.0
44,1,Pere, Pere Serra Guardia.,45,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,-1.0
45,1,Maria, María Teresa Rodríguez de la Fuente.,46,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
46,1,Ana, Ana María Álvarez Montalbán.,47,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
47,1,Juana, Juana María Domínguez Ramos.,48,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
48,1,Jose, José Antonio Tamayo Arana.,49,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,-1.0
49,1,Julio, Julio Palomares Collado.,50,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,-1.0
50,1,Maria, María Luisa Tardío Alonso.,51,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
51,1,Regulo, Régulo Daniel Hernández Talavera.,52,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,-1.0
52,1,Ivan, Iván Velasco Egido.,53,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,-1.0
53,1,Nathalia, Nathalia Solarte Clavijo.,54,INICIATIVA FEMINISTA (I.Fem),I.Fem,False,1.0
54,1,Maria, María Concepción Martos García.,1,INICIATIVA FEMINISTA (I.Fem),I.Fem,True,1.0
55,1,Maria, María Dolores del Carmen García Arencibia.,2,INICIATIVA FEMINISTA (I.Fem),I.Fem,True,1.0
56,1,Vicente, Vicente Jesús Travieso Rodríguez.,3,INICIATIVA FEMINISTA (I.Fem),I.Fem,True,-1.0
57,1,Maria, María Pino Vega Romero.,4,INICIATIVA FEMINISTA (I.Fem),I.Fem,True,1.0
58,1,Edgar, Edgar Miguel Hernández Talavera.,5,INICIATIVA FEMINISTA (I.Fem),I.Fem,True,-1.0
59,1,Maria, María del Carmen Velasco Egido.,6,INICIATIVA FEMINISTA (I.Fem),I.Fem,True,1.0
60,1,Maria, María Luisa Salvador Vicente.,7,INICIATIVA FEMINISTA (I.Fem),I.Fem,True,1.0
61,1,Maria, María del Carmen Garcerá Marco.,8,INICIATIVA FEMINISTA (I.Fem),I.Fem,True,1.0
62,1,Juan, Juan Rafael Hierro Rivero.,9,INICIATIVA FEMINISTA (I.Fem),I.Fem,True,-1.0
63,1,Manuel, Manuel Javier Castro Fernández.,10,INICIATIVA FEMINISTA (I.Fem),I.Fem,True,-1.0
64,2,Elena, Elena Valenciano Martínez-Orozco.,1,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,1.0
65,2,Ramon, Ramón Jáuregui Atondo.,2,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,-1.0
66,2,Soledad, Soledad Cabezón Ruiz.,3,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,1.0
67,2,Juan, Juan Fernando López Aguilar.,4,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,-1.0
68,2,Iratxe, Iratxe García Pérez.,5,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,1.0
69,2,Javier, Javier López Fernández.,6,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,-1.0
70,2,Inmaculada, Inmaculada Rodríguez-Piñero Fernández.,7,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,1.0
71,2,Enrique, Enrique Guerrero Salom.,8,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,-1.0
72,2,Eider, Eider Gardiazábal Rubial.,9,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,1.0
73,2,Jose, José Blanco López.,10,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,-1.0
74,2,Clara, Clara Eugenia Aguilera García.,11,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,1.0
75,2,Sergio, Sergio Gutiérrez Prieto.,12,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,-1.0
76,2,Ines, Inés Ayala Sender.,13,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,1.0
77,2,Jonas, Jonás Fernández Álvarez.,14,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,-1.0
78,2,Esther, Esther Niubó Cidoncha.,15,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,1.0
79,2,Borja, Borja Cabezón Royo.,16,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,-1.0
80,2,Maria, María del Carmen Ortiz Rivas.,17,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,1.0
81,2,Ricardo, Ricardo Cortés Lastra.,18,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,-1.0
82,2,Maria, María Begoña García Bernal.,19,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,1.0
83,2,Pere, Pere Joan Pons Sampietro.,20,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,-1.0
84,2,Maria, María Paloma Muñiz de Urquiza.,21,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,1.0
85,2,Juan, Juan Ramón Ferreira Alonso.,22,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,-1.0
86,2,Isabel, Isabel Casalduero Jódar.,23,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,1.0
87,2,Alejandro, Alejandro Colldefors Bergnes de las Casas.,24,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,-1.0
88,2,Rosa, Rosa María Balas Torres.,25,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,1.0
89,2,Jose, José Manuel Domínguez López.,26,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,-1.0
90,2,Concepcion, Concepción Andreu Rodríguez.,27,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,1.0
91,2,Alfonso, Alfonso Carlos Mateo Miranda.,28,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,-1.0
92,2,Izaskun, Izaskun Bernal Cerdeira.,29,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,1.0
93,2,Mohammed, Mohammed Azahaf Moumen.,30,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,-1.0
94,2,Maria, María Paz Ojeda Giménez.,31,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,1.0
95,2,Samuel, Samuel Falomir Sancho.,32,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,-1.0
96,2,Angela, Ángela Sabater García.,33,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,1.0
97,2,Sergio, Sergio Chueca Urzay.,34,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,-1.0
98,2,Maider, Maider Laínez Lazcoz.,35,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,1.0
99,2,Antonio, Antonio Luengo Rodríguez.,36,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,-1.0
100,2,Diana, Diana Salvadó Artells.,37,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,1.0
101,2,Juan, Juan Francisco Rodríguez Sánchez.,38,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,-1.0
102,2,Maria, María del Cristo Dorta López.,39,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,1.0
103,2,Eduard, Eduard Rivas Mateo.,40,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,-1.0
104,2,Estefania, Estefanía Torres Sánchez.,41,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,1.0
105,2,Nicolas, Nicolás González Casares.,42,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,-1.0
106,2,Naxalli, Naxalli Lozano Hernández.,43,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,1.0
107,2,Eduardo, Eduardo Abascal Falces.,44,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,-1.0
108,2,Carmen, Carmen Espín Quirante.,45,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,1.0
109,2,Emilio, Emilio Ivars Ferrer.,46,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,-1.0
110,2,Angela, Ángela María López Vargas.,47,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,1.0
111,2,Santiago, Santiago Ekain Rico Lezama.,48,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,-1.0
112,2,Maria, María Bella Martín Eugenio.,49,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,1.0
113,2,Jose, José Ángel Santoro Estévez.,50,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,-1.0
114,2,Saray, Saray Soria García.,51,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,1.0
115,2,Miquel, Miquel Company Pons.,52,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,-1.0
116,2,Rosa, Rosa Peñalver Pérez.,53,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,1.0
117,2,Miguel, Miguel Ángel Martínez Martínez.,54,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False,-1.0
118,2,Estela, Estela Goicoechea Alonso.,1,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,True,1.0
119,2,Miguel, Miguel Chover Lara.,2,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,True,-1.0
120,2,Rosa, Rosa María Orriols Ramos.,3,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,True,1.0
121,2,Jose, José Ramón Funes Toyos.,4,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,True,-1.0
122,2,Miriam, Miriam Ruiz Sanz.,5,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,True,1.0
123,2,Oscar, Óscar Pérez Suárez.,6,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,True,-1.0
124,3,Miguel, Miguel Arias Cañete.,1,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
125,3,Esteban, Esteban González Pons.,2,PARTIDO POPULAR (P.P.),P.P.,False,-1.0
126,3,Maria, María Teresa Jiménez Becerril Barrio.,3,PARTIDO POPULAR (P.P.),P.P.,False,1.0
