,name,name_decoded,gender
0,Juana,Juana,1.0
1,Consuelo,Consuelo,1.0
2,María,Maria,1.0
3,Javier,Javier,-1.0
4,Alfonso,Alfonso,-1.0
5,Ana,Ana,1.0
6,Marina,Marina,1.0
7,Enric,Enric,-1.0
8,Francisco,Francisco,-1.0
9,José,Jose,-1.0
10,Isabel,Isabel,1.0
11,Alicia,Alicia,1.0
12,Jaime,Jaime,-1.0
13,Ángel,Angel,-1.0
14,Ester,Ester,1.0
15,Begoña,Begona,1.0
16,Jesús,Jesus,-1.0
17,Luis,Luis,-1.0
18,Vicente,Vicente,-1.0
19,Blas,Blas,-1.0
20,Cristina,Cristina,1.0
21,Vicenta,Vicenta,1.0
22,Alberto,Alberto,-1.0
23,Dolores,Dolores,1.0
24,Mireia,Mireia,1.0
25,Rafael,Rafael,-1.0
26,Héctor,Hector,-1.0
27,Antonia,Antonia,1.0
28,Tibisay,Tibisay,1.0
29,Estefanía,Estefania,1.0
30,Juan,Juan,-1.0
31,Pere,Pere,-1.0
32,Julio,Julio,-1.0
33,Régulo,Regulo,-1.0
34,Iván,Ivan,-1.0
35,Nathalia,Nathalia,1.0
36,Edgar,Edgar,-1.0
37,Manuel,Manuel,-1.0
38,Elena,Elena,1.0
39,Ramón,Ramon,-1.0
40,Soledad,Soledad,1.0
41,Iratxe,Iratxe,1.0
42,Inmaculada,Inmaculada,1.0
43,Enrique,Enrique,-1.0
44,Eider,Eider,1.0
45,Clara,Clara,1.0
46,Sergio,Sergio,-1.0
47,Inés,Ines,1.0
48,Jonás,Jonas,-1.0
49,Esther,Esther,1.0
50,Borja,Borja,-1.0
51,Ricardo,Ricardo,-1.0
52,Alejandro,Alejandro,-1.0
53,Rosa,Rosa,1.0
54,Concepción,Concepcion,1.0
55,Izaskun,Izaskun,1.0
56,Mohammed,Mohammed,-1.0
57,Samuel,Samuel,-1.0
58,Ángela,Angela,1.0
59,Maider,Maider,1.0
60,Antonio,Antonio,-1.0
61,Diana,Diana,1.0
62,Eduard,Eduard,-1.0
63,Nicolás,Nicolas,-1.0
64,Naxalli,Naxalli,1.0
65,Eduardo,Eduardo,-1.0
66,Carmen,Carmen,1.0
67,Emilio,Emilio,-1.0
68,Santiago,Santiago,-1.0
69,Saray,Saray,1.0
70,Miquel,Miquel,-1.0
71,Miguel,Miguel,-1.0
72,Estela,Estela,1.0
73,Miriam,Miriam,1.0
74,Óscar,Oscar,-1.0
75,Esteban,Esteban,-1.0
76,Pilar,Pilar,1.0
77,Pablo,Pablo,-1.0
78,Verónica,Veronica,1.0
79,Gabriel,Gabriel,-1.0
80,Agustín,Agustin,-1.0
81,Carlos,Carlos,-1.0
82,Eva,Eva,1.0
83,Salvador,Salvador,-1.0
84,Gabino,Gabino,-1.0
85,Sofía,Sofia,1.0
86,Rocío,Rocio,1.0
87,Zoe,Zoe,1.0
88,Mirian,Mirian,1.0
89,Pedro,Pedro,-1.0
90,Andrea,Andrea,1.0
91,Noelia,Noelia,1.0
92,Fernando,Fernando,-1.0
93,Marta,Marta,1.0
94,Marino,Marino,-1.0
95,Marius,Marius,-1.0
96,Daniel,Daniel,-1.0
97,Irene,Irene,1.0
98,Silvia,Silvia,1.0
99,Carla,Carla,1.0
100,Federico,Federico,-1.0
101,Joaquín,Joaquin,-1.0
102,Eloisa,Eloisa,1.0
103,Francesc,Francesc,-1.0
104,Paulo,Paulo,-1.0
105,Monserrat,Monserrat,1.0
106,David,David,-1.0
107,Xabier,Xabier,-1.0
108,Luca,Luca,-1.0
109,Olga,Olga,1.0
110,Idoia,Idoia,1.0
111,Gerard,Gerard,-1.0
112,Josep,Josep,-1.0
113,Jordi,Jordi,-1.0
114,Martí,Marti,1.0
115,Joseba,Joseba,-1.0
116,Lídia,Lidia,1.0
117,Simó,Simo,-1.0
118,Adargoma,Adargoma,-1.0
119,Joan,Joan,1.0
120,Teba,Teba,1.0
121,Luke,Luke,-1.0
122,Xavier,Xavier,-1.0
123,Maria,Maria,1.0
124,Iñaki,Inaki,-1.0
125,Estefania,Estefania,1.0
126,Susana,Susana,1.0
127,Victor,Victor,-1.0
128,Nahikari,Nahikari,1.0
129,Andrés,Andres,-1.0
130,Aitor,Aitor,-1.0
131,Roser,Roser,1.0
132,Abraham,Abraham,-1.0
133,Attissa,Attissa,1.0
134,Miren,Miren,1.0
135,Marc,Marc,-1.0
136,Maixabel,Maixabel,1.0
137,Alexander,Alexander,-1.0
138,Amaia,Amaia,1.0
139,Marcel,Marcel,-1.0
140,Mikel,Mikel,-1.0
141,Sílvia,Silvia,1.0
142,Sergi,Sergi,-1.0
143,Argimiro,Argimiro,-1.0
144,Carolina,Carolina,1.0
145,Ignacio,Ignacio,-1.0
